Most Compatible Couple


Couple id:Boy_id9_Girl_id10 	Compatibility:32303	Gift Exchanged: 6
Couple id:Boy_id4_Girl_id4 	Compatibility:32288	Gift Exchanged: 3
Couple id:Boy_id6_Girl_id9 	Compatibility:32116	Gift Exchanged: 9
Couple id:Boy_id2_Girl_id2 	Compatibility:32060	Gift Exchanged: 11
Couple id:Boy_id10_Girl_id11 	Compatibility:32047	Gift Exchanged: 11
Couple id:Boy_id5_Girl_id6 	Compatibility:32009	Gift Exchanged: 7
Couple id:Boy_id7_Girl_id8 	Compatibility:31804	Gift Exchanged: 10
Couple id:Boy_id13_Girl_id16 	Compatibility:31715	Gift Exchanged: 8
Couple id:Boy_id11_Girl_id12 	Compatibility:31691	Gift Exchanged: 16
Couple id:Boy_id3_Girl_id3 	Compatibility:31680	Gift Exchanged: 16
Couple id:Boy_id8_Girl_id5 	Compatibility:31654	Gift Exchanged: 14
Couple id:Boy_id16_Girl_id17 	Compatibility:31590	Gift Exchanged: 14
Couple id:Boy_id12_Girl_id14 	Compatibility:31558	Gift Exchanged: 20
Couple id:Boy_id14_Girl_id7 	Compatibility:31527	Gift Exchanged: 20
Couple id:Boy_id1_Girl_id1 	Compatibility:31455	Gift Exchanged: 6
