Top Happy Couples


Couple id: Boy_id6_Girl_id9	Happiness: 1202604	Gift Exchanged: 9
Couple id: Boy_id16_Girl_id17	Happiness: 1202604	Gift Exchanged: 14
Couple id: Boy_id1_Girl_id1	Happiness: 442413	Gift Exchanged: 6
Couple id: Boy_id14_Girl_id7	Happiness: 2980	Gift Exchanged: 20
Couple id: Boy_id3_Girl_id3	Happiness: 1508	Gift Exchanged: 16
Couple id: Boy_id11_Girl_id12	Happiness: 1180	Gift Exchanged: 16
Couple id: Boy_id8_Girl_id5	Happiness: 848	Gift Exchanged: 14
Couple id: Boy_id13_Girl_id16	Happiness: 543	Gift Exchanged: 8
Couple id: Boy_id7_Girl_id8	Happiness: 403	Gift Exchanged: 10
Couple id: Boy_id2_Girl_id2	Happiness: 3	Gift Exchanged: 11
Couple id: Boy_id12_Girl_id14	Happiness: 3	Gift Exchanged: 20
Couple id: Boy_id4_Girl_id4	Happiness: 2	Gift Exchanged: 3
Couple id: Boy_id5_Girl_id6	Happiness: 2	Gift Exchanged: 7
Couple id: Boy_id9_Girl_id10	Happiness: 1	Gift Exchanged: 6
Couple id: Boy_id10_Girl_id11	Happiness: 1	Gift Exchanged: 11
