Event	 	 	 	 	 Couple ID 	 	 	 	  Timestamp
Formation of couple	 	Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id3_Girl_id3	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id4_Girl_id4	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id8_Girl_id5	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id5_Girl_id6	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id14_Girl_id7	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id7_Girl_id8	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id6_Girl_id9	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id9_Girl_id10	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id10_Girl_id11	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id11_Girl_id12	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id12_Girl_id14	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id13_Girl_id16	 	2017-04-09.22:29:38
Formation of couple	 	Boy_id16_Girl_id17	 	2017-04-09.22:29:38
Event	 	 	 	Gift Id 	 	 	 Couple ID	 	 	  Timestamp
Distribution of Gift	 	gift_id_757	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_910	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_510	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_869	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_645	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_920	 	 Boy_id1_Girl_id1	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_757	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_910	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_510	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_869	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_645	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
Distribution of Gift	 	gift_id_920	 	 Boy_id2_Girl_id2	 	2017-04-09.22:29:38
