Event	 	 	 	 	 Couple ID 	 	 	 	  Timestamp
Formation of couple	 	Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Formation of couple	 	Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Formation of couple	 	Boy_id22_Girl_id5	 	2017-04-09.22:31:42
Formation of couple	 	Boy_id33_Girl_id1	 	2017-04-09.22:31:42
Formation of couple	 	Boy_id12_Girl_id3	 	2017-04-09.22:31:42
Formation of couple	 	Boy_id14_Girl_id2	 	2017-04-09.22:31:42
Event	 	 	 	Gift Id 	 	 	 Couple ID	 	 	  Timestamp
Distribution of Gift	 	gift_id_332	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_724	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_669	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_613	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_11	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_459	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	Extra Luxury Gift 	gift_id_817	 	 Boy_id27_Girl_id6	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_332	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_724	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_669	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_613	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_11	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_459	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_817	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_419	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_84	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_774	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_725	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_278	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_460	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_680	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_634	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_228	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_822	 	 Boy_id23_Girl_id4	 	2017-04-09.22:31:42
No Extra Gift for Boy_id23_Girl_id4
Distribution of Gift	 	gift_id_332	 	 Boy_id22_Girl_id5	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_724	 	 Boy_id22_Girl_id5	 	2017-04-09.22:31:42
Distribution of Gift	 	gift_id_669	 	 Boy_id22_Girl_id5	 	2017-04-09.22:31:42
