Top Happy Couples


Couple id: Boy_id11_Girl_id19	Happiness: 1202604	Gift Exchanged: 3
Couple id: Boy_id7_Girl_id4	Happiness: 442413	Gift Exchanged: 12
Couple id: Boy_id17_Girl_id12	Happiness: 2022	Gift Exchanged: 19
Couple id: Boy_id20_Girl_id5	Happiness: 1884	Gift Exchanged: 20
Couple id: Boy_id16_Girl_id1	Happiness: 1361	Gift Exchanged: 15
Couple id: Boy_id8_Girl_id18	Happiness: 1321	Gift Exchanged: 17
Couple id: Boy_id22_Girl_id2	Happiness: 424	Gift Exchanged: 6
Couple id: Boy_id23_Girl_id6	Happiness: 148	Gift Exchanged: 20
Couple id: Boy_id1_Girl_id9	Happiness: 3	Gift Exchanged: 10
Couple id: Boy_id9_Girl_id16	Happiness: 3	Gift Exchanged: 17
Couple id: Boy_id10_Girl_id7	Happiness: 2	Gift Exchanged: 7
Couple id: Boy_id6_Girl_id17	Happiness: 2	Gift Exchanged: 7
Couple id: Boy_id13_Girl_id3	Happiness: 2	Gift Exchanged: 8
